country,state,city,region
United States,Kentucky,Henderson,South
United States,California,Los Angeles,West
United States,Florida,Fort Lauderdale,South
United States,North Carolina,Concord,South
United States,Washington,Seattle,West
United States,Texas,Fort Worth,Central
United States,Wisconsin,Madison,Central
United States,Utah,West Jordan,West
United States,California,San Francisco,West
United States,Nebraska,Fremont,Central
United States,Pennsylvania,Philadelphia,East
United States,Utah,Orem,West
United States,Texas,Houston,Central
United States,Texas,Richardson,Central
United States,Illinois,Naperville,Central
United States,Florida,Melbourne,South
United States,Minnesota,Eagan,Central
United States,Michigan,Westland,Central
United States,Delaware,Dover,East
United States,Indiana,New Albany,Central
United States,New York,New York City,East
United States,New York,Troy,East
United States,Illinois,Chicago,Central
United States,Arizona,Gilbert,West
United States,Virginia,Springfield,South
United States,Michigan,Jackson,Central
United States,Tennessee,Memphis,South
United States,Alabama,Decatur,South
United States,North Carolina,Durham,South
United States,South Carolina,Columbia,South
United States,Minnesota,Rochester,Central
United States,Minnesota,Minneapolis,Central
United States,Oregon,Portland,West
United States,Minnesota,Saint Paul,Central
United States,Colorado,Aurora,West
United States,North Carolina,Charlotte,South
United States,Illinois,Orland Park,Central
United States,Iowa,Urbandale,Central
United States,Ohio,Columbus,East
United States,Tennessee,Bristol,South
United States,Delaware,Wilmington,East
United States,Illinois,Bloomington,Central
United States,Arizona,Phoenix,West
United States,California,Roseville,West
United States,Missouri,Independence,Central
United States,California,Pasadena,West
United States,Ohio,Newark,East
United States,Wisconsin,Franklin,Central
United States,Arizona,Scottsdale,West
United States,California,San Jose,West
United States,Oklahoma,Edmond,Central
United States,New Mexico,Carlsbad,West
United States,Texas,San Antonio,Central
United States,Illinois,Decatur,Central
United States,Louisiana,Monroe,South
United States,Connecticut,Fairfield,East
United States,Texas,Grand Prairie,Central
United States,California,Redlands,West
United States,Ohio,Hamilton,East
United States,New Jersey,Westfield,East
United States,Ohio,Akron,East
United States,Colorado,Denver,West
United States,Texas,Dallas,Central
United States,Tennessee,Franklin,South
United States,California,Whittier,West
United States,Michigan,Saginaw,Central
United States,Ohio,Medina,East
United States,Ohio,Dublin,East
United States,Michigan,Detroit,Central
United States,Tennessee,Columbia,South
United States,Florida,Tampa,South
United States,California,Santa Clara,West
United States,Minnesota,Lakeville,Central
United States,California,San Diego,West
United States,Texas,Pasadena,Central
United States,California,Brentwood,West
United States,North Carolina,Chapel Hill,South
United States,New Jersey,Morristown,East
United States,Ohio,Cincinnati,East
United States,California,Inglewood,West
United States,Florida,Tamarac,South
United States,Colorado,Colorado Springs,West
United States,New Jersey,Belleville,East
United States,Michigan,Taylor,Central
United States,New Jersey,Lakewood,East
United States,Virginia,Arlington,South
United States,Colorado,Arvada,West
United States,New Jersey,Hackensack,East
United States,Florida,Saint Petersburg,South
United States,California,Long Beach,West
United States,California,Hesperia,West
United States,Tennessee,Murfreesboro,South
United States,Utah,Layton,West
United States,Texas,Austin,Central
United States,Massachusetts,Lowell,East
United States,Georgia,Columbus,South
United States,Connecticut,Manchester,East
United States,Texas,Harlingen,Central
United States,Arizona,Tucson,West
United States,Illinois,Quincy,Central
United States,Massachusetts,Franklin,East
United States,Florida,Pembroke Pines,South
United States,Washington,Des Moines,West
United States,Illinois,Peoria,Central
United States,Nevada,Las Vegas,West
United States,Rhode Island,Warwick,East
United States,Florida,Miami,South
United States,North Carolina,Wilmington,South
United States,California,Huntington Beach,West
United States,Kentucky,Richmond,South
United States,Colorado,Louisville,West
United States,Massachusetts,Lawrence,East
United States,Mississippi,Jackson,South
United States,Michigan,Canton,Central
United States,New York,New Rochelle,East
United States,North Carolina,Gastonia,South
United States,Florida,Jacksonville,South
United States,Indiana,Columbus,Central
United States,New York,Auburn,East
United States,Oklahoma,Norman,Central
United States,California,Concord,West
United States,Illinois,Park Ridge,Central
United States,Texas,Amarillo,Central
United States,New York,Lindenhurst,East
United States,Texas,Huntsville,Central
United States,New York,Rochester,East
United States,Arkansas,Fayetteville,South
United States,California,Costa Mesa,West
United States,Colorado,Parker,West
United States,Georgia,Atlanta,South
United States,Missouri,Gladstone,Central
United States,Montana,Great Falls,West
