order_id,customer_id,product_id,order_date,sales,high_value_order
CA-2017-152156,CG-12520,FUR-BO-10001798,2017-11-08,261.96,0
CA-2017-152156,CG-12520,FUR-CH-10000454,2017-11-08,731.94,1
CA-2017-138688,DV-13045,OFF-LA-10000240,2017-06-12,14.62,0
US-2016-108966,SO-20335,FUR-TA-10000577,2016-10-11,957.5775,1
US-2016-108966,SO-20335,OFF-ST-10000760,2016-10-11,22.368,0
CA-2015-115812,BH-11710,FUR-FU-10001487,2015-06-09,48.86,0
CA-2015-115812,BH-11710,OFF-AR-10002833,2015-06-09,7.28,0
CA-2015-115812,BH-11710,TEC-PH-10002275,2015-06-09,907.152,1
CA-2015-115812,BH-11710,OFF-BI-10003910,2015-06-09,18.504,0
CA-2015-115812,BH-11710,OFF-AP-10002892,2015-06-09,114.9,0
CA-2015-115812,BH-11710,FUR-TA-10001539,2015-06-09,1706.184,1
CA-2015-115812,BH-11710,TEC-PH-10002033,2015-06-09,911.424,1
CA-2018-114412,AA-10480,OFF-PA-10002365,2018-04-15,15.552,0
CA-2017-161389,IM-15070,OFF-BI-10003656,2017-12-05,407.976,0
US-2016-118983,HP-14815,OFF-AP-10002311,2016-11-22,68.81,0
US-2016-118983,HP-14815,OFF-BI-10000756,2016-11-22,2.544,0
CA-2015-105893,PK-19075,OFF-ST-10004186,2015-11-11,665.88,1
CA-2015-167164,AG-10270,OFF-ST-10000107,2015-05-13,55.5,0
CA-2015-143336,ZD-21925,OFF-AR-10003056,2015-08-27,8.56,0
CA-2015-143336,ZD-21925,TEC-PH-10001949,2015-08-27,213.48,0
CA-2015-143336,ZD-21925,OFF-BI-10002215,2015-08-27,22.72,0
CA-2017-137330,KB-16585,OFF-AR-10000246,2017-12-09,19.46,0
CA-2017-137330,KB-16585,OFF-AP-10001492,2017-12-09,60.34,0
US-2018-156909,SF-20065,FUR-CH-10002774,2018-07-16,71.372,0
CA-2016-106320,EB-13870,FUR-TA-10000577,2016-09-25,1044.63,1
CA-2017-121755,EH-13945,OFF-BI-10001634,2017-01-16,11.648,0
CA-2017-121755,EH-13945,TEC-AC-10003027,2017-01-16,90.57,0
US-2016-150630,TB-21520,FUR-BO-10004834,2016-09-17,3083.43,1
US-2016-150630,TB-21520,OFF-BI-10000474,2016-09-17,9.618,0
US-2016-150630,TB-21520,FUR-FU-10004848,2016-09-17,124.2,0
US-2016-150630,TB-21520,OFF-EN-10001509,2016-09-17,3.264,0
US-2016-150630,TB-21520,OFF-AR-10004042,2016-09-17,86.304,0
US-2016-150630,TB-21520,OFF-BI-10001525,2016-09-17,6.858,0
US-2016-150630,TB-21520,OFF-AR-10001683,2016-09-17,15.76,0
CA-2018-107727,MA-17560,OFF-PA-10000249,2018-10-19,29.472,0
CA-2017-117590,GH-14485,TEC-PH-10004977,2017-12-08,1097.544,1
CA-2017-117590,GH-14485,FUR-FU-10003664,2017-12-08,190.92,0
CA-2016-117415,SN-20710,OFF-EN-10002986,2016-12-27,113.328,0
CA-2016-117415,SN-20710,FUR-BO-10002545,2016-12-27,532.3992,1
CA-2016-117415,SN-20710,FUR-CH-10004218,2016-12-27,212.058,0
CA-2016-117415,SN-20710,TEC-PH-10000486,2016-12-27,371.168,0
CA-2018-120999,LC-16930,TEC-PH-10004093,2018-09-10,147.168,0
CA-2017-101343,RA-19885,OFF-ST-10003479,2017-07-17,77.88,0
CA-2018-139619,ES-14080,OFF-ST-10003282,2018-09-19,95.616,0
CA-2017-118255,ON-18715,TEC-AC-10000171,2017-03-11,45.98,0
CA-2017-118255,ON-18715,OFF-BI-10003291,2017-03-11,17.46,0
CA-2015-146703,PO-18865,OFF-ST-10001713,2015-10-20,211.96,0
CA-2017-169194,LH-16900,TEC-AC-10002167,2017-06-20,45.0,0
CA-2017-169194,LH-16900,TEC-PH-10003988,2017-06-20,21.8,0
CA-2016-115742,DP-13000,OFF-BI-10004410,2016-04-18,38.22,0
CA-2016-115742,DP-13000,OFF-LA-10002762,2016-04-18,75.18,0
CA-2016-115742,DP-13000,FUR-FU-10001706,2016-04-18,6.16,0
CA-2016-115742,DP-13000,FUR-CH-10003061,2016-04-18,89.99,0
CA-2017-105816,JM-15265,OFF-FA-10000304,2017-12-11,15.26,0
CA-2017-105816,JM-15265,TEC-PH-10002447,2017-12-11,1029.95,1
CA-2017-111682,TB-21055,OFF-ST-10000604,2017-06-17,208.56,0
CA-2017-111682,TB-21055,OFF-PA-10001569,2017-06-17,32.4,0
CA-2017-111682,TB-21055,FUR-CH-10003968,2017-06-17,319.41,0
CA-2017-111682,TB-21055,OFF-PA-10000587,2017-06-17,14.56,0
CA-2017-111682,TB-21055,TEC-AC-10002167,2017-06-17,30.0,0
CA-2017-111682,TB-21055,OFF-BI-10001460,2017-06-17,48.48,0
CA-2017-111682,TB-21055,OFF-AR-10001868,2017-06-17,1.68,0
CA-2016-135545,KM-16720,TEC-AC-10004633,2016-11-24,13.98,0
CA-2016-135545,KM-16720,OFF-BI-10001078,2016-11-24,25.824,0
CA-2016-135545,KM-16720,OFF-PA-10003892,2016-11-24,146.73,0
CA-2016-135545,KM-16720,FUR-FU-10000397,2016-11-24,79.76,0
US-2016-164175,PS-18970,FUR-CH-10001146,2016-04-30,213.115,0
